Node_ID,Name,Type,X,Y,PX,PY,Parent
124,综合服务楼_北门,Door,580.31,1330.65,715.311838302714,354.35067595180914,综合服务楼
125,综合服务楼_西门,Door,554.08,1286.92,689.0768281374568,398.07569289390455,综合服务楼
126,浴室,Building,591.97,1254.86,726.9718428206062,430.1407053181079,浴室
127,浴室_入口,Door,591.39,1242.62,726.3888425947116,442.3837100618945,浴室
128,学六公寓,Building,610.5,1407.66,745.5011053125885,277.3406254912684,学六公寓
129,学六公寓_入口,Door,636.55,1405.66,771.5493317727844,279.34433521897574,学六公寓
130,锅炉房,Building,685.97,1260.72,820.9741717228997,424.2793388564759,锅炉房
131,学苑风味餐厅,Building,661.93,1159.87,796.9296549904111,525.1327284844137,学苑风味餐厅
132,学苑风味餐厅_北门,Door,704.01,1175.23,839.007559272266,509.770953905324,学苑风味餐厅
133,学苑风味餐厅_南门,Door,703.34,1151.18,838.3396560296969,533.8154706378125,学苑风味餐厅
134,综合服务大厅,Building,665.94,1126.47,800.9370744458259,558.5278906128701,综合服务大厅
135,学生发展中心,Building,557.07,1146.51,692.0688459070586,538.4907933357963,学生发展中心
136,学生发展中心_南门,Door,603.15,1118.46,738.1541696443281,566.5427295236996,学生发展中心
137,学生发展中心_2,Door,500.3,1137.83,635.297070288683,547.1735354891949,学生发展中心
138,麦当劳,Building,515.66,1194.6,650.6588448677728,490.4017598708193,麦当劳
139,移动营业厅,Building,543.47,1196.11,678.4743891694218,488.8880059564032,移动营业厅
140,物美超市-眼镜店,Building,586.73,1208.29,721.7336153008241,476.7082238417366,物美超市-眼镜店
141,瑞幸咖啡,Building,624.11,1201.15,759.1129466182492,483.8480961158515,瑞幸咖啡
142,泸溪河,Building,634.19,1200.31,769.1927662993526,484.6880810892768,泸溪河
143,打印店,Building,645.11,1199.89,780.1125709538813,485.1080735759894,打印店
144,电信营业厅,Building,658.13,1201.15,793.1323380419733,483.8480961158515,电信营业厅
145,水果店,Building,672.41,1199.05,807.412082590203,485.9480585494147,水果店
146,图片社打印店,Building,690.47,1199.89,825.4717595188467,485.1080735759894,图片社打印店
